Map name,Tier,Type,Stages/Cps,Bonuses
surf_ace,1,Staged-Linear,8,1
surf_aircontrol_ksf,1,Linear,6,2
surf_akai_final,1,Linear,3,0
surf_and_destroy_fix,1,Linear,4,2
surf_andromeda,1,Linear,3,1
surf_apollo,1,Linear,4,6
surf_artois,1,Staged,5,5
surf_aser,1,Staged-Linear,6,0
surf_aura,1,Staged,6,8
surf_awp_sk337_v3,1,Linear,4,0
surf_beginner,1,Staged,7,0
surf_benevolent_refix,1,Staged,7,1
surf_beyond,1,Staged,10,2
surf_beyond2,1,Staged,5,2
surf_borderlands,1,Staged,7,0
surf_boreas,1,Linear,3,0
surf_botanica,1,Staged,4,6
surf_calycate_ksf,1,Linear,3,1
surf_calycate2,1,Linear,3,1
surf_calzone,1,Staged,4,1
surf_chaos_fix,1,Staged,3,1
surf_deathstar,1,Staged-Linear,6,0
surf_demise,1,Linear,3,1
surf_derpis_ksf,1,Staged,6,0
surf_egypt2,1,Linear,3,1
surf_enlightened_ksf,1,Linear,3,3
surf_flow_ksf,1,Linear,3,2
surf_forbidden_ways_ksf,1,Linear,7,1
surf_forgotten,1,Linear,3,6
surf_fornax,1,Linear,3,7
surf_frost,1,Linear,3,8
surf_funhouse_v1,1,Linear,4,0
surf_garden,1,Staged,10,3
surf_hourglass,1,Linear,3,0
surf_kepler,1,Staged-Linear,9,2
surf_kitsune,1,Staged,9,0
surf_lament_ksf,1,Linear,4,1
surf_leet_xl_beta7z,1,Linear,2,0
surf_legends,1,Linear,5,0
surf_lessons,1,Staged,7,3
surf_listless_ksf,1,Staged,9,5
surf_lovetunnel,1,Linear,3,0
surf_lux,1,Linear,4,0
surf_me,1,Staged,5,4
surf_mesa_fixed,1,Linear,4,0
surf_minuet_ksf,1,Linear,4,0
surf_mom_fix,1,Staged,6,1
surf_network2008_final,1,Linear,4,1
surf_nuclear,1,Staged,2,2
surf_nyx,1,Linear,3,3
surf_pantheon,1,Linear,4,3
surf_perennial,1,Staged,2,3
surf_pox,1,Linear,3,0
surf_prelude_fix,1,Linear,4,0
surf_prime_time_r3vamp,1,Staged,2,0
surf_rebel_resistance_final3,1,Linear,3,0
surf_rebel_scaz_ksf,1,Linear,3,1
surf_satellite_fix,1,Linear,3,0
surf_school_fix,1,Staged-Linear,10,1
surf_summit,1,Linear,4,3
surf_sundown,1,Linear,5,0
surf_tendies,1,Linear,5,3
surf_trance,1,Linear,5,1
surf_utopia_njv,1,Linear,4,0
surf_void,1,Linear,3,0
surf_water_run_ksf,1,Staged,4,1
surf_whiteout,1,Staged,6,1
surf_year3000,1,Staged,2,0
surf_zoomathon,1,Linear,8,0
surf_zor,1,Linear,3,1
surf_004_fix,2,Linear,4,0
surf_4head,2,Linear,4,4
surf_6,2,Linear,3,1
surf_81st_network,2,Staged-Linear,5,1
surf_8bit,2,Staged,3,1
surf_abandoned,2,Linear,6,4
surf_activation,2,Staged-Linear,4,4
surf_aeron,2,Linear,3,1
surf_aether,2,Linear,5,0
surf_agony,2,Linear,4,1
surf_amplitude_encore,2,Linear,6,0
surf_amplitude_light,2,Linear,4,0
surf_annoyance_njv,2,Staged,8,0
surf_anoobis,2,Staged,3,10
surf_anzchamps,2,Staged-Linear,8,1
surf_aqua_fix,2,Linear,4,1
surf_aquaflow,2,Linear,3,0
surf_arcade,2,Staged,6,1
surf_ardon_fix,2,Linear,3,6
surf_autumn_fix,2,Staged,5,2
surf_beginner2,2,Staged,7,4
surf_believe,2,Staged,4,3
surf_beverages_remix,2,Staged,8,3
surf_bluewall_v2,2,Staged,4,3
surf_boring,2,Staged,16,0
surf_cavemissile_fix,2,Linear,4,4
surf_classics,2,Staged,10,0
surf_classics2,2,Staged,9,0
surf_commune_beta11,2,Staged,9,0
surf_crzyfrog_reloaded,2,Staged,3,0
surf_cyberwave,2,Staged,2,1
surf_deadline,2,Staged,4,2
surf_delight,2,Linear,4,3
surf_delusional,2,Staged,8,0
surf_destruction,2,Staged-Linear,4,0
surf_devs_ksf,2,Staged,10,3
surf_domain,2,Linear,4,2
surf_doodles_njv,2,Staged,9,1
surf_dragon,2,Linear,4,1
surf_driftless,2,Linear,4,1
surf_duggywuggy,2,Linear,4,1
surf_ebony,2,Linear,5,4
surf_echo,2,Linear,3,3
surf_eclipse,2,Staged,3,0
surf_eggplant,2,Linear,4,3
surf_elements_beta3,2,Staged,6,1
surf_elites_v2,2,Linear,3,1
surf_epicube,2,Linear,4,2
surf_ethereal,2,Staged,3,2
surf_everdark,2,Linear,3,0
surf_exocube,2,Staged,5,0
surf_exurbia_v2,2,Staged,5,1
surf_faint_fix,2,Linear,4,2
surf_flyin_fortress_fix,2,Linear,3,1
surf_fortum_fix,2,Staged,5,2
surf_frey_remake,2,Staged,3,2
surf_funhouse2,2,Linear,4,7
surf_glass7_ksf,2,Linear,4,0
surf_glass9,2,Linear,3,0
surf_gleam,2,Linear,3,2
surf_gleam2,2,Staged,4,4
surf_graphia,2,Linear,4,1
surf_grassland,2,Linear,3,0
surf_greensway,2,Linear,3,0
surf_guitar_hi,2,Linear,3,1
surf_halloween_tf2,2,Linear,7,0
surf_happyhands,2,Linear,4,2
surf_harmony_fix,2,Staged,5,3
surf_heaven_njv,2,Staged,6,1
surf_holiday,2,Staged,4,0
surf_hotwheels_fix,2,Linear,4,8
surf_hurrr,2,Linear,4,0
surf_illusion,2,Staged,10,3
surf_imex,2,Staged,5,0
surf_in_space,2,Staged-Linear,3,1
surf_indecisive,2,Linear,3,1
surf_ing,2,Linear,7,2
surf_inspire,2,Linear,4,1
surf_instantdeath,2,Linear,1,4
surf_interference,2,Linear,3,0
surf_island,2,Linear,6,0
surf_ivory,2,Linear,4,3
surf_journeys,2,Linear,3,3
surf_juturna,2,Linear,4,1
surf_kismet,2,Linear,5,2
surf_kloakk,2,Linear,4,4
surf_klue,2,Linear,3,1
surf_korn,2,Staged,4,3
surf_kvas,2,Linear,4,4
surf_kz_mix_journeys,2,Linear,6,3
surf_kz_protraining,2,Staged-Linear,16,4
surf_lies_ksf,2,Staged,5,0
surf_lockdown,2,Linear,3,2
surf_lodypreview,2,Staged,13,0
surf_lore,2,Staged,7,2
surf_lullaby_ksf,2,Linear,5,0
surf_mate,2,Linear,4,5
surf_mellow,2,Linear,4,0
surf_mesa_mine,2,Linear,6,1
surf_mwag_reloaded,2,Staged,14,5
surf_nebula,2,Linear,4,3
